item_id,feature_category_id,feature_value_id,remap_value_id
172,7,536,2
172,17,378,0
172,24,588,1
172,29,277,2
172,47,516,2
172,50,317,0
172,53,444,2
172,55,267,0
172,56,365,0
172,60,758,0
172,61,462,0
172,62,801,0
172,63,861,0
172,65,610,1
172,68,596,13
172,69,805,2
172,72,75,0
172,73,544,0
175,-1,1,1
175,2,841,1
175,23,510,0
175,31,768,0
175,36,824,1
175,38,818,1
175,39,731,0
175,40,717,0
175,42,409,0
175,47,884,8
175,49,465,0
175,50,317,0
175,55,692,6
175,56,365,0
175,61,706,1
175,66,776,0
175,67,349,0
175,68,596,13
175,73,544,0
177,-1,1,1
177,4,618,0
177,6,877,1
177,7,619,3
177,17,378,0
177,24,588,1
177,29,123,0
177,47,516,2
177,50,240,1
177,53,444,2
177,55,267,0
177,56,239,3
177,60,831,1
177,61,706,1
177,62,801,0
177,63,861,0
177,65,521,0
177,68,799,14
177,69,499,7
177,72,75,0
177,73,544,0
185,-1,1,1
185,2,53,0
185,23,510,0
185,31,768,0
185,36,824,1
185,37,245,2
185,38,693,2
185,39,731,0
185,42,409,0
185,47,520,9
185,49,806,1
185,50,317,0
185,54,785,0
185,55,770,7
185,56,365,0
185,61,706,1
185,67,349,0
185,68,875,15
185,73,544,0
187,-1,0,0
187,4,618,0
187,7,394,5
187,24,189,0
187,28,437,0
187,29,123,0
187,33,873,2
187,47,123,5
187,50,317,0
187,53,6,1
187,55,267,0
187,56,365,0
187,61,706,1
187,62,801,0
187,63,861,0
187,68,662,16
187,69,805,2
187,72,75,0
187,73,544,0
192,-1,1,1
192,4,618,0
192,7,394,5
192,24,588,1
192,28,437,0
192,29,123,0
192,33,171,3
192,47,123,5
192,50,901,2
192,53,6,1
192,55,267,0
192,56,365,0
192,61,462,0
192,62,896,2
192,63,861,0
192,68,351,1
192,69,805,2
192,72,75,0
192,73,544,0
198,-1,1,1
198,3,793,0
198,4,618,0
198,5,605,0
198,7,798,1
198,17,378,0
198,18,289,0
198,19,765,3
198,22,881,0
198,26,268,0
198,32,902,0
198,45,559,0
198,46,825,0
198,47,218,0
198,50,317,0
198,55,267,0
198,56,365,0
198,59,180,0
198,61,706,1
198,63,861,0
198,65,521,0
198,68,383,17
198,69,499,7
198,72,75,0
198,73,544,0
201,-1,1,1
201,3,793,0
201,4,618,0
201,5,605,0
201,7,798,1
201,11,109,1
201,17,378,0
201,18,289,0
201,19,765,3
201,26,268,0
201,32,902,0
201,45,559,0
201,46,825,0
201,47,549,1
201,50,317,0
201,55,267,0
201,56,365,0
201,59,856,1
201,61,462,0
201,63,861,0
201,65,521,0
201,68,373,0
201,69,780,3
201,72,75,0
201,73,544,0
218,-1,1,1
218,4,618,0
218,6,778,2
218,7,2,9
218,17,378,0
218,24,588,1
218,29,123,0
218,47,516,2
218,50,130,3
218,53,444,2
218,55,267,0
218,56,365,0
218,60,3,2
218,61,462,0
218,62,801,0
218,63,861,0
218,65,550,2
218,68,351,1
218,69,362,8
218,72,75,0
222,-1,1,1
222,4,618,0
222,7,394,5
222,24,588,1
222,28,437,0
222,29,386,1
222,33,764,0
222,47,123,5
222,50,901,2
222,53,6,1
222,55,267,0
222,56,365,0
222,61,706,1
222,62,801,0
222,63,861,0
222,68,745,10
222,69,885,4
222,72,75,0
222,73,544,0
228,-1,1,1
228,4,618,0
228,7,394,5
228,24,588,1
228,28,437,0
228,29,123,0
228,33,36,4
228,47,123,5
228,50,240,1
228,53,444,2
228,55,267,0
228,56,365,0
228,61,462,0
228,62,801,0
228,63,861,0
228,68,739,4
228,69,885,4
228,72,75,0
228,73,544,0
239,-1,1,1
239,2,56,2
239,23,510,0
239,31,768,0
239,36,830,2
239,37,469,0
239,38,138,0
239,39,731,0
239,42,409,0
239,47,512,4
239,49,465,0
239,50,317,0
239,51,597,0
239,55,267,0
239,56,365,0
239,67,349,0
239,68,745,10
239,73,544,0
248,-1,1,1
248,4,505,3
248,7,82,8
248,12,410,1
248,15,26,3
248,17,378,0
248,21,24,1
248,34,275,1
248,46,825,0
248,47,96,6
248,50,317,0
248,55,129,8
248,56,365,0
248,61,706,1
248,62,801,0
248,63,672,2
248,65,550,2
248,68,799,14
248,69,592,1
248,72,263,4
248,73,544,0
251,-1,1,1
251,2,53,0
251,23,510,0
251,31,713,1
251,36,858,0
251,38,421,3
251,39,731,0
251,40,717,0
251,42,781,1
251,47,884,8
251,49,465,0
251,50,240,1
251,55,93,9
251,56,365,0
251,61,898,2
251,66,886,1
251,67,349,0
251,68,351,1
251,73,544,0
252,-1,1,1
252,1,461,0
252,3,793,0
252,4,618,0
252,5,605,0
252,7,837,0
252,17,378,0
252,19,292,7
252,26,346,3
252,32,902,0
252,34,275,1
252,45,559,0
252,46,825,0
252,47,690,7
252,48,326,1
252,50,317,0
252,55,267,0
252,56,365,0
252,58,299,0
252,59,180,0
252,61,706,1
252,63,861,0
252,68,373,0
252,69,709,9
252,72,455,7
252,73,544,0
259,-1,0,0
259,4,618,0
259,7,394,5
259,24,588,1
259,28,437,0
259,29,386,1
259,33,764,0
259,47,123,5
259,50,317,0
259,53,6,1
259,55,267,0
259,56,365,0
259,61,706,1
259,62,801,0
259,63,861,0
259,68,745,10
259,69,885,4
259,72,75,0
259,73,544,0
264,-1,1,1
264,3,793,0
264,4,618,0
264,5,58,1
264,7,777,10
264,11,676,3
264,17,378,0
264,18,289,0
264,19,112,4
264,26,507,4
264,32,522,2
264,34,275,1
264,45,559,0
264,46,825,0
264,47,549,1
264,50,317,0
264,55,632,10
264,56,365,0
264,59,180,0
264,61,706,1
264,63,861,0
264,65,521,0
264,68,702,18
264,69,592,1
264,72,381,8
264,73,544,0
273,-1,1,1
273,3,793,0
273,4,618,0
273,5,605,0
273,7,2,9
273,15,584,1
273,17,378,0
273,19,700,1
273,26,268,0
273,32,286,1
273,41,826,4
273,44,51,4
273,45,559,0
273,46,825,0
273,47,36,3
273,50,317,0
273,55,267,0
273,56,365,0
273,61,898,2
273,63,861,0
273,65,610,1
273,68,351,1
273,69,499,7
273,72,75,0
273,73,544,0
281,-1,1,1
281,3,793,0
281,4,618,0
281,5,605,0
281,7,452,4
281,15,451,2
281,17,378,0
281,19,723,8
281,26,113,1
281,32,902,0
281,41,145,5
281,44,509,5
281,45,559,0
281,46,825,0
281,47,36,3
281,50,240,1
281,55,267,0
281,56,365,0
281,61,706,1
281,63,861,0
281,65,521,0
281,68,351,1
281,69,592,1
281,72,75,0
281,73,544,0
289,-1,0,0
289,3,793,0
289,4,618,0
289,5,605,0
289,7,2,9
289,11,109,1
289,17,378,0
289,18,158,3
289,19,765,3
289,26,268,0
289,32,286,1
289,45,559,0
289,46,825,0
289,47,549,1
289,50,240,1
289,55,267,0
289,56,365,0
289,59,856,1
289,61,462,0
289,63,861,0
289,65,521,0
289,68,745,10
289,69,592,1
289,72,75,0
289,73,544,0
295,-1,1,1
295,4,618,0
295,7,619,3
295,12,410,1
295,15,584,1
295,17,378,0
295,21,353,2
295,34,275,1
295,46,783,1
295,47,96,6
295,50,240,1
295,55,129,8
295,56,365,0
295,61,706,1
295,62,801,0
295,63,861,0
295,65,521,0
295,68,31,19
295,69,592,1
295,72,557,9
295,73,544,0
305,-1,1,1
305,3,793,0
305,4,618,0
305,5,605,0
305,7,619,3
305,8,323,0
305,10,724,0
305,17,378,0
305,25,850,0
305,26,268,0
305,30,564,0
305,30,478,3
305,30,194,2
305,30,482,1
305,30,847,4
305,32,902,0
305,45,559,0
305,46,825,0
305,47,273,10
305,50,901,2
305,55,267,0
305,56,365,0
305,57,135,0
305,58,299,0
305,59,387,2
305,61,706,1
305,63,861,0
305,68,373,0
305,69,592,1
305,72,75,0
305,73,544,0
312,-1,1,1
312,3,793,0
312,4,618,0
312,5,605,0
312,7,536,2
312,8,636,1
312,10,287,1
312,17,378,0
312,25,687,1
312,26,268,0
312,32,902,0
312,45,559,0
312,46,825,0
312,47,273,10
312,50,317,0
312,55,267,0
312,56,365,0
312,57,623,1
312,58,299,0
312,59,856,1
312,61,462,0
312,63,861,0
312,68,744,9
312,69,805,2
312,72,75,0
312,73,544,0
313,-1,0,0
313,4,618,0
313,7,2,9
313,17,378,0
313,34,275,1
313,35,272,0
313,43,788,0
313,47,165,11
313,50,317,0
313,52,227,0
313,53,444,2
313,55,267,0
313,56,365,0
313,61,808,3
313,62,15,1
313,63,861,0
313,65,521,0
313,68,745,10
313,69,639,6
313,72,75,0
313,73,544,0
314,-1,1,1
314,3,793,0
314,4,743,2
314,5,605,0
314,7,490,7
314,11,859,2
314,17,378,0
314,18,817,1
314,19,700,1
314,26,44,5
314,32,522,2
314,45,559,0
314,46,825,0
314,47,549,1
314,50,317,0
314,55,267,0
314,56,365,0
314,59,180,0
314,61,706,1
314,63,518,3
314,65,521,0
314,68,351,1
314,69,592,1
314,72,75,0
314,73,544,0
320,-1,1,1
320,3,793,0
320,4,618,0
320,5,605,0
320,7,798,1
320,17,378,0
320,19,112,4
320,20,342,0
320,24,588,1
320,26,507,4
320,29,386,1
320,32,522,2
320,41,210,3
320,45,559,0
320,47,242,12
320,50,317,0
320,55,267,0
320,56,365,0
320,61,706,1
320,63,861,0
320,65,610,1
320,68,702,18
320,69,780,3
320,72,748,6
320,73,544,0
330,-1,1,1
330,2,53,0
330,23,510,0
330,31,768,0
330,36,824,1
330,38,818,1
330,39,731,0
330,40,717,0
330,42,781,1
330,47,884,8
330,49,465,0
330,50,317,0
330,55,267,0
330,56,365,0
330,61,706,1
330,66,776,0
330,67,382,1
330,68,351,1
330,73,544,0
340,-1,1,1
340,4,618,0
340,6,539,3
340,7,798,1
340,17,378,0
340,24,588,1
340,29,123,0
340,47,516,2
340,50,240,1
340,53,444,2
340,55,267,0
340,56,365,0
340,60,796,3
340,61,462,0
340,62,801,0
340,63,861,0
340,65,610,1
340,68,379,20
340,69,639,6
340,72,75,0
340,73,544,0
344,-1,1,1
344,3,793,0
344,4,618,0
344,5,605,0
344,7,777,10
344,11,308,4
344,17,378,0
344,18,817,1
344,19,769,6
344,26,113,1
344,32,902,0
344,45,559,0
344,46,825,0
344,47,549,1
344,50,317,0
344,55,267,0
344,56,365,0
344,59,856,1
344,61,898,2
344,63,861,0
344,65,521,0
344,68,403,21
344,69,592,1
344,72,75,0
344,73,544,0
346,-1,1,1
346,2,53,0
346,23,510,0
346,31,768,0
346,36,830,2
346,37,45,3
346,38,440,4
346,39,731,0
346,42,409,0
346,47,512,4
346,49,465,0
346,50,240,1
346,51,597,0
346,55,267,0
346,56,365,0
346,61,706,1
346,67,382,1
346,68,373,0
346,73,544,0
351,-1,1,1
351,3,793,0
351,4,618,0
351,5,605,0
351,7,452,4
351,15,584,1
351,17,378,0
351,19,700,1
351,26,126,6
351,32,286,1
351,41,200,6
351,44,509,5
351,45,559,0
351,46,825,0
351,47,36,3
351,50,317,0
351,55,704,1
351,56,365,0
351,61,706,1
351,63,861,0
351,65,521,0
351,68,351,1
351,69,592,1
351,72,219,2
351,73,544,0
358,-1,1,1
358,4,618,0
358,6,399,0
358,7,452,4
358,17,378,0
358,24,588,1
358,29,123,0
358,47,516,2
358,50,317,0
358,53,444,2
358,55,267,0
358,56,365,0
358,60,758,0
358,61,462,0
358,62,801,0
358,63,861,0
358,65,610,1
358,68,103,3
358,69,592,1
358,72,75,0
358,73,544,0
364,-1,1,1
364,2,53,0
364,23,510,0
364,31,768,0
364,36,824,1
364,37,245,2
364,38,693,2
364,39,731,0
364,42,409,0
364,47,520,9
364,49,465,0
364,50,317,0
364,54,785,0
364,55,267,0
364,56,365,0
364,61,462,0
364,67,566,2
364,68,373,0
364,73,544,0
366,-1,0,0
366,4,618,0
366,6,877,1
366,7,619,3
366,17,378,0
366,24,588,1
366,29,123,0
366,47,516,2
366,50,317,0
366,53,707,0
366,55,267,0
366,56,365,0
366,60,796,3
366,62,801,0
366,63,861,0
366,65,550,2
366,68,531,8
366,69,639,6
366,72,75,0
366,73,544,0
375,-1,0,0
375,4,618,0
375,7,394,5
375,24,588,1
375,28,437,0
375,29,123,0
375,33,36,4
375,47,123,5
375,50,317,0
375,53,6,1
375,55,267,0
375,56,365,0
375,61,462,0
375,62,801,0
375,63,861,0
375,68,10,11
375,69,885,4
375,72,75,0
375,73,544,0
378,-1,1,1
378,4,618,0
378,7,276,11
378,24,588,1
378,28,437,0
378,29,123,0
378,33,873,2
378,47,123,5
378,50,240,1
378,53,6,1
378,55,267,0
378,56,365,0
378,61,706,1
378,62,801,0
378,63,861,0
378,68,445,22
378,69,805,2
378,72,75,0
378,73,544,0
389,-1,1,1
389,2,53,0
389,23,510,0
389,31,768,0
389,36,858,0
389,38,138,0
389,39,731,0
389,40,717,0
389,42,409,0
389,47,884,8
389,49,465,0
389,50,317,0
389,55,267,0
389,56,365,0
389,61,898,2
389,66,886,1
389,67,349,0
389,68,351,1
389,73,544,0
398,-1,1,1
398,2,53,0
398,23,510,0
398,31,713,1
398,36,830,2
398,38,440,4
398,39,731,0
398,40,717,0
398,42,781,1
398,47,884,8
398,49,465,0
398,50,317,0
398,55,267,0
398,56,365,0
398,61,898,2
398,66,886,1
398,67,349,0
398,68,441,23
398,73,544,0
399,-1,0,0
399,3,793,0
399,4,618,0
399,5,605,0
399,7,838,12
399,15,584,1
399,17,378,0
399,19,700,1
399,26,13,7
399,30,482,1
399,30,478,3
399,30,564,0
399,32,522,2
399,34,275,1
399,41,145,5
399,44,547,6
399,45,559,0
399,46,825,0
399,47,36,3
399,50,317,0
399,55,704,1
399,56,365,0
399,61,706,1
399,63,861,0
399,65,521,0
399,68,335,6
399,69,592,1
399,72,219,2
399,73,544,0
413,-1,1,1
413,2,53,0
413,23,510,0
413,31,768,0
413,36,830,2
413,37,45,3
413,38,440,4
413,39,731,0
413,42,409,0
413,47,512,4
413,49,465,0
413,50,240,1
413,51,457,2
413,55,267,0
413,56,365,0
413,61,898,2
413,67,382,1
413,68,767,24
413,73,544,0
419,-1,0,0
419,4,618,0
419,7,394,5
419,24,588,1
419,28,437,0
419,29,123,0
419,33,764,0
419,47,123,5
419,50,317,0
419,53,6,1
419,55,267,0
419,56,365,0
419,61,462,0
419,62,801,0
419,63,861,0
419,68,739,4
419,69,805,2
419,72,75,0
419,73,544,0
421,-1,1,1
421,4,618,0
421,7,284,13
421,12,438,0
421,15,451,2
421,17,378,0
421,21,224,0
421,46,825,0
421,47,96,6
421,50,240,1
421,55,267,0
421,56,365,0
421,61,706,1
421,62,801,0
421,63,861,0
421,65,521,0
421,68,373,0
421,69,694,10
421,72,75,0
421,73,544,0
423,-1,1,1
423,2,851,3
423,23,510,0
423,31,768,0
423,36,824,1
423,38,138,0
423,39,731,0
423,40,449,1
423,42,781,1
423,47,884,8
423,49,465,0
423,50,317,0
423,55,267,0
423,56,365,0
423,61,706,1
423,66,886,1
423,67,382,1
423,68,351,1
423,73,544,0
425,-1,1,1
425,4,618,0
425,7,619,3
425,12,410,1
425,15,584,1
425,17,378,0
425,21,353,2
425,34,275,1
425,46,825,0
425,47,96,6
425,50,240,1
425,55,448,11
425,56,365,0
425,61,706,1
425,62,801,0
425,63,861,0
425,65,521,0
425,68,351,1
425,69,592,1
425,72,7,3
425,73,91,1
428,-1,1,1
428,3,793,0
428,4,618,0
428,5,605,0
428,7,619,3
428,8,636,1
428,10,732,2
428,17,378,0
428,25,687,1
428,26,268,0
428,32,902,0
428,45,559,0
428,46,825,0
428,47,273,10
428,50,317,0
428,55,267,0
428,56,365,0
428,57,811,2
428,58,299,0
428,59,180,0
428,63,861,0
428,68,351,1
428,69,592,1
428,72,75,0
428,73,544,0
441,-1,1,1
441,3,793,0
441,4,618,0
441,5,58,1
441,7,2,9
441,15,451,2
441,17,378,0
441,19,700,1
441,26,507,4
441,32,522,2
441,41,826,4
441,44,51,4
441,45,559,0
441,46,825,0
441,47,36,3
441,50,240,1
441,55,401,2
441,56,365,0
441,61,898,2
441,63,861,0
441,65,521,0
441,68,403,21
441,69,780,3
441,72,75,0
441,73,544,0
445,-1,1,1
445,4,618,0
445,7,619,3
445,12,812,2
445,15,451,2
445,17,378,0
445,21,224,0
445,46,825,0
445,47,96,6
445,50,240,1
445,55,267,0
445,56,365,0
445,61,462,0
445,62,801,0
445,63,861,0
445,65,521,0
445,68,351,1
445,69,780,3
445,72,75,0
445,73,544,0
447,-1,0,0
447,3,569,2
447,4,862,4
447,5,605,0
447,7,452,4
447,15,133,0
447,17,378,0
447,19,700,1
447,26,126,6
447,30,564,0
447,32,286,1
447,34,275,1
447,41,181,1
447,44,615,3
447,45,559,0
447,46,825,0
447,47,36,3
447,50,317,0
447,55,704,1
447,56,365,0
447,61,706,1
447,63,816,1
447,65,610,1
447,68,875,15
447,69,780,3
447,72,829,10
447,73,544,0
450,-1,1,1
450,3,793,0
450,4,618,0
450,5,605,0
450,7,452,4
450,15,451,2
450,17,378,0
450,19,112,4
450,26,727,8
450,32,902,0
450,34,275,1
450,41,210,3
450,44,475,7
450,45,559,0
450,46,825,0
450,47,36,3
450,50,317,0
450,55,704,1
450,56,365,0
450,61,706,1
450,63,861,0
450,65,550,2
450,68,351,1
450,69,592,1
450,72,263,4
450,73,544,0
452,-1,1,1
452,3,793,0
452,4,618,0
452,5,605,0
452,7,2,9
452,15,584,1
452,17,378,0
452,19,765,3
452,26,268,0
452,32,902,0
452,41,826,4
452,44,51,4
452,45,559,0
452,46,783,1
452,47,36,3
452,50,240,1
452,55,267,0
452,56,365,0
452,61,462,0
452,63,861,0
452,65,521,0
452,68,351,1
452,69,780,3
452,72,75,0
452,73,544,0
458,-1,0,0
458,3,793,0
458,4,385,5
458,5,605,0
458,7,2,9
458,11,109,1
458,17,378,0
458,18,158,3
458,19,112,4
458,26,600,9
458,32,286,1
458,45,559,0
458,46,825,0
458,47,549,1
458,50,317,0
458,55,267,0
458,56,365,0
458,59,856,1
458,61,706,1
458,63,742,4
458,65,521,0
458,68,351,1
458,69,499,7
458,72,75,0
458,73,544,0
459,-1,1,1
459,3,793,0
459,4,618,0
459,5,605,0
459,7,536,2
459,8,323,0
459,10,724,0
459,17,378,0
459,25,687,1
459,26,268,0
459,32,902,0
459,45,559,0
459,46,825,0
459,47,273,10
459,50,317,0
459,55,267,0
459,56,365,0
459,57,135,0
459,58,299,0
459,59,387,2
459,61,462,0
459,63,861,0
459,68,875,15
459,69,780,3
459,72,75,0
459,73,544,0
465,-1,1,1
465,3,793,0
465,4,618,0
465,5,529,2
465,7,82,8
465,15,548,4
465,17,378,0
465,19,700,1
465,26,126,6
465,32,286,1
465,34,734,0
465,41,151,0
465,44,4,8
465,45,559,0
465,46,825,0
465,47,36,3
465,50,240,1
465,55,267,0
465,56,365,0
465,61,898,2
465,63,861,0
465,65,521,0
465,68,351,1
465,69,592,1
465,72,7,3
465,73,91,1
470,-1,1,1
470,4,618,0
470,7,276,11
470,12,410,1
470,15,451,2
470,17,378,0
470,21,353,2
470,46,825,0
470,47,96,6
470,50,240,1
470,55,267,0
470,56,365,0
470,61,706,1
470,62,801,0
470,63,861,0
470,65,610,1
470,68,383,17
470,69,805,2
470,72,75,0
470,73,544,0
473,-1,1,1
473,2,53,0
473,23,510,0
473,31,768,0
473,36,858,0
473,38,138,0
473,39,731,0
473,40,717,0
473,42,409,0
473,47,884,8
473,49,465,0
